The project is about Monthly Production of Petroleum Products by Refineries & Fractionators

Month,Year,Products,"Quantity (000 Metric Tonnes)",updated_date
April,2023,ATF,1349.18,2024-03-19
May,2023,NAPHTHA,1616.20,2024-03-19
May,2023,LDO,41.72,2024-03-19
June,2023,"MS Others",1460.75,2024-03-19
July,2023,LPG,1101.04,2024-03-19
July,2023,HSD-VI,6830.01,2024-03-19
July,2023,FO,898.76,2024-03-19
July,2023,LSHS,67.61,2024-03-19
July,2023,Others,2589.47,2024-03-19
September,2023,FO,991.23,2024-03-19
September,2023,BITUMEN,277.59,2024-03-19
October,2023,MS-VI,2390.48,2024-03-19
April,2022,HSD-VI,6903.99,2024-03-19
April,2022,LUBES,115.53,2024-03-19
May,2022,"MS Others",1283.87,2024-03-19
May,2022,RPC/Petcoke,1320.90,2024-03-19
May,2022,Others,2618.19,2024-03-19
June,2022,ATF,1179.80,2024-03-19
June,2022,HSD-VI,6858.39,2024-03-19
June,2022,"HSD Others",2711.83,2024-03-19
July,2022,"HSD Others",2724.29,2024-03-19
August,2022,NAPHTHA,1419.68,2024-03-19
August,2022,SKO,48.34,2024-03-19
September,2022,SKO,68.94,2024-03-19
September,2022,LDO,49.82,2024-03-19
September,2022,LUBES,107.77,2024-03-19
September,2022,FO,814.82,2024-03-19
September,2022,LSHS,31.12,2024-03-19
October,2022,MS-VI,2458.42,2024-03-19
October,2022,ATF,1307.16,2024-03-19
October,2022,SKO,15.19,2024-03-19
November,2022,HSD-VI,6051.47,2024-03-19
November,2022,BITUMEN,440.03,2024-03-19
December,2022,MS-VI,2386.63,2024-03-19
December,2022,ATF,1343.50,2024-03-19
December,2022,Others,3212.57,2024-03-19
January,2023,SKO,77.73,2024-03-19
February,2023,"MS Others",1344.42,2024-03-19
February,2023,RPC/Petcoke,1248.80,2024-03-19
March,2023,LPG,1148.91,2024-03-19
April,2023,"HSD Others",2298.86,2024-03-19
April,2023,LUBES,117.10,2024-03-19
May,2023,"HSD Others",2648.91,2024-03-19
May,2023,LUBES,117.97,2024-03-19
May,2023,RPC/Petcoke,1375.40,2024-03-19
May,2023,Others,2844.66,2024-03-19
June,2023,ATF,1383.14,2024-03-19
June,2023,HSD-VI,7254.32,2024-03-19
July,2023,NAPHTHA,1474.03,2024-03-19
August,2023,"MS Others",1350.37,2024-03-19
August,2023,LDO,78.74,2024-03-19
August,2023,FO,1001.21,2024-03-19
October,2023,"MS Others",903.86,2024-03-19
October,2023,ATF,1293.19,2024-03-19
October,2023,BITUMEN,436.03,2024-03-19
April,2022,MS-VI,2347.81,2024-03-19
April,2022,ATF,1010.21,2024-03-19
April,2022,Others,2695.66,2024-03-19
May,2022,FO,886.47,2024-03-19
May,2022,BITUMEN,509.00,2024-03-19
June,2022,LPG,1065.08,2024-03-19
June,2022,NAPHTHA,1541.40,2024-03-19
June,2022,LUBES,79.39,2024-03-19
June,2022,LSHS,50.12,2024-03-19
July,2022,LPG,1079.87,2024-03-19
July,2022,BITUMEN,247.94,2024-03-19
August,2022,LPG,950.72,2024-03-19
August,2022,ATF,1204.66,2024-03-19
August,2022,HSD-VI,6100.25,2024-03-19
August,2022,LDO,38.59,2024-03-19
August,2022,LUBES,101.41,2024-03-19
August,2022,FO,965.63,2024-03-19
August,2022,LSHS,53.43,2024-03-19
August,2022,RPC/Petcoke,1216.23,2024-03-19
August,2022,Others,2603.09,2024-03-19
September,2022,MS-VI,2230.69,2024-03-19
October,2022,NAPHTHA,1207.88,2024-03-19
October,2022,LSHS,49.73,2024-03-19
November,2022,NAPHTHA,1239.29,2024-03-19
November,2022,"MS Others",1084.42,2024-03-19
November,2022,SKO,66.99,2024-03-19
November,2022,"HSD Others",2394.05,2024-03-19
November,2022,LDO,57.09,2024-03-19
November,2022,FO,779.31,2024-03-19
November,2022,LSHS,55.21,2024-03-19
January,2023,NAPHTHA,1528.16,2024-03-19
January,2023,ATF,1408.16,2024-03-19
January,2023,HSD-VI,7506.72,2024-03-19
January,2023,LDO,70.19,2024-03-19
February,2023,MS-VI,2182.50,2024-03-19
February,2023,HSD-VI,6922.13,2024-03-19
February,2023,LDO,54.27,2024-03-19
February,2023,LSHS,75.35,2024-03-19
February,2023,BITUMEN,445.19,2024-03-19
March,2023,RPC/Petcoke,1390.45,2024-03-19
April,2023,"MS Others",1440.15,2024-03-19
April,2023,SKO,31.55,2024-03-19
May,2023,LPG,1144.52,2024-03-19
May,2023,"MS Others",1437.96,2024-03-19
June,2023,NAPHTHA,1478.84,2024-03-19
June,2023,"HSD Others",2504.75,2024-03-19
June,2023,FO,847.10,2024-03-19
July,2023,ATF,1439.24,2024-03-19
July,2023,BITUMEN,268.44,2024-03-19
August,2023,MS-VI,2484.39,2024-03-19
August,2023,ATF,1482.34,2024-03-19
August,2023,SKO,105.20,2024-03-19
August,2023,HSD-VI,6800.97,2024-03-19
August,2023,LSHS,61.57,2024-03-19
August,2023,RPC/Petcoke,1247.57,2024-03-19
August,2023,Others,2715.24,2024-03-19
September,2023,LUBES,95.82,2024-03-19
October,2023,LPG,958.52,2024-03-19
October,2023,HSD-VI,6792.82,2024-03-19
October,2023,"HSD Others",2613.95,2024-03-19
October,2023,LDO,64.91,2024-03-19
October,2023,RPC/Petcoke,1090.83,2024-03-19
April,2022,LDO,59.92,2024-03-19
April,2022,LSHS,57.93,2024-03-19
April,2022,RPC/Petcoke,1313.98,2024-03-19
May,2022,LPG,1131.10,2024-03-19
May,2022,NAPHTHA,1511.55,2024-03-19
May,2022,SKO,130.97,2024-03-19
May,2022,"HSD Others",3221.32,2024-03-19
June,2022,"MS Others",1288.51,2024-03-19
June,2022,SKO,92.68,2024-03-19
June,2022,LDO,45.24,2024-03-19
June,2022,BITUMEN,410.30,2024-03-19
July,2022,FO,833.77,2024-03-19
August,2022,"MS Others",1071.46,2024-03-19
August,2022,BITUMEN,195.25,2024-03-19
September,2022,NAPHTHA,1360.99,2024-03-19
September,2022,HSD-VI,6200.32,2024-03-19
September,2022,"HSD Others",2587.70,2024-03-19
October,2022,"HSD Others",1979.58,2024-03-19
November,2022,LPG,979.95,2024-03-19
November,2022,MS-VI,2246.29,2024-03-19
December,2022,SKO,44.46,2024-03-19
December,2022,HSD-VI,7235.03,2024-03-19
January,2023,"MS Others",1456.01,2024-03-19
January,2023,"HSD Others",2696.60,2024-03-19
January,2023,LSHS,63.25,2024-03-19
February,2023,NAPHTHA,1368.98,2024-03-19
February,2023,SKO,100.17,2024-03-19
February,2023,"HSD Others",2439.95,2024-03-19
February,2023,LUBES,105.79,2024-03-19
March,2023,MS-VI,2419.18,2024-03-19
March,2023,SKO,99.20,2024-03-19
March,2023,HSD-VI,7519.69,2024-03-19
March,2023,LDO,79.14,2024-03-19
March,2023,LSHS,74.24,2024-03-19
March,2023,BITUMEN,621.50,2024-03-19
March,2023,Others,2963.41,2024-03-19
April,2023,NAPHTHA,1376.50,2024-03-19
April,2023,MS-VI,2177.77,2024-03-19
April,2023,HSD-VI,7155.18,2024-03-19
April,2023,FO,982.75,2024-03-19
April,2023,BITUMEN,537.58,2024-03-19
April,2023,Others,2587.04,2024-03-19
May,2023,ATF,1432.21,2024-03-19
May,2023,FO,746.03,2024-03-19
May,2023,BITUMEN,507.71,2024-03-19
June,2023,MS-VI,2321.12,2024-03-19
June,2023,SKO,79.76,2024-03-19
June,2023,LUBES,132.77,2024-03-19
June,2023,BITUMEN,470.84,2024-03-19
June,2023,Others,2693.54,2024-03-19
